frame,angry,disgust,fear,happy,neutral,sad,surprise,x,y,width,height
0.0,0.16697953641414642,8.150831126840785e-05,0.032545141875743866,0.0005937387468293309,0.3752538561820984,0.42007577419281006,0.004470468033105135,154.0,42.0,728.0,728.0
1.0,0.19138500094413757,5.415378836914897e-05,0.030291033908724785,0.0005782361840829253,0.3608127534389496,0.4142879545688629,0.0025908646639436483,160.0,42.0,724.0,724.0
2.0,0.24173924326896667,8.498895476805046e-05,0.03341473266482353,0.0012179588666185737,0.39438334107398987,0.32648447155952454,0.002675298834219575,172.0,51.0,707.0,707.0
3.0,0.238225519657135,7.899860793258995e-05,0.029309211298823357,0.0008697960874997079,0.3650576174259186,0.3645738661289215,0.0018849563784897327,168.0,46.0,716.0,716.0
4.0,0.3041480481624603,7.72401035646908e-05,0.030869917944073677,0.0012537670554593205,0.34497132897377014,0.31713104248046875,0.001548644620925188,171.0,43.0,721.0,721.0
5.0,0.23448115587234497,8.87405258254148e-05,0.03333764150738716,0.0006968376692384481,0.32519450783729553,0.4037191569805145,0.002481958596035838,171.0,48.0,720.0,720.0
6.0,0.24908192455768585,7.166524301283062e-05,0.03634645417332649,0.0012094530975446105,0.3745267987251282,0.3352416753768921,0.0035220144782215357,176.0,55.0,712.0,712.0
7.0,0.23948656022548676,0.0001155918653239496,0.037257321178913116,0.0015964619815349579,0.40832769870758057,0.3106512427330017,0.002565107075497508,186.0,63.0,697.0,697.0
7.0,0.13008351624011993,2.6529327442403883e-05,0.12493554502725601,0.1850399672985077,0.11223847419023514,0.4427291452884674,0.004946780391037464,76.0,105.0,87.0,87.0
8.0,0.12928864359855652,2.67862415057607e-05,0.12599867582321167,0.1842796951532364,0.1123957633972168,0.4430360794067383,0.004974458832293749,76.0,105.0,87.0,87.0
8.0,0.23844866454601288,0.0001479651255067438,0.04434521868824959,0.002077101729810238,0.3806664049625397,0.33082982897758484,0.003484827931970358,189.0,67.0,694.0,694.0
9.0,0.23880374431610107,0.0001259905839106068,0.04595785215497017,0.0014077923260629177,0.3612184226512909,0.3502293825149536,0.0022568239364773035,190.0,71.0,691.0,691.0
10.0,0.24262920022010803,0.00012937941937707365,0.05207163468003273,0.0012352443300187588,0.3490045666694641,0.3520973324775696,0.002832591300830245,193.0,74.0,688.0,688.0
11.0,0.2740963399410248,0.00014330659178085625,0.043640539050102234,0.0016628692392259836,0.3407559096813202,0.3373863101005554,0.0023147091269493103,190.0,75.0,691.0,691.0
